file,pages,text_chars,method,note
B387047A20_Carlino_variazione_bilancio_fiera_sapori_2025.pdf,5,9110,pypdf,
B387047A20_PromoTurismoFVG_contributo_fiera_sapori_2024.pdf,3,5822,pypdf,
B387047A20_PromoTurismoFVG_contributo_fiera_sapori_2025.pdf,3,6665,pypdf,
B387047A20_determina.pdf,12,33611,pypdf,
B4B5B163A0_determina.pdf,4,10257,pypdf,
B5F0937C10_MASE_documento_tecnico_TL800_1311973.pdf,8,16334,pypdf,
B5F0937C10_MASE_rischio_idrogeologico_TL800_1311982.pdf,1,446,pypdf,
B5F77EC7CD_Regione_Lazio_allegato_CIG_elenco_prodotti.pdf,15,46198,pypdf,
B6DD95EE23_determina_65.pdf,6,16136,pypdf,
B6DD95EE23_determina_aggiudicazione_2475.pdf,5,11467,pypdf,
B6DD95EE23_graduatoria.pdf,3,3330,pypdf,
B6DD95EE23_verbale_aggiudicazione.pdf,3,8719,pypdf,
B6E9DE9F63_determina.pdf,3,8915,pypdf,
B6EDEAC0D4_avviso_postinformazione_ctr1196.pdf,1,1239,pypdf,
B6EDEAC0D4_determina.pdf,1,1239,pypdf,
B74941928B_annullamento_autotutela_DCS_935_2025.pdf,4,11050,pypdf,
B74941928B_indizione_DCS_830_2025.pdf,5,16753,pypdf,
B7A3D70B00_avviso_avvio_procedura_negoziata.pdf,1,3112,pypdf,
B7A3D70B00_determina.pdf,5,13925,pypdf,
B7B0353822_UniTo_programma_triennale_2025_2027.pdf,14,42248,pypdf,
B7B0353822_UniTo_registro_decreti_commissione_2025.pdf,22,93269,pypdf,
B8297EE856_colleferro_atto_cybersecurity.pdf,6,19786,pypdf,
B85DEBAAC9_SABES_integrazione_programma_2024_2028.pdf,21,74768,pypdf,
B85DEBAAC9_SABES_programma_investimenti_2023_2027.pdf,25,72430,pypdf,
B85DEBAAC9_SABES_rimodulazione_programma_2023.pdf,29,92030,pypdf,
B85DEBAAC9_programma_investimenti_SABES.pdf,,0,none,pypdf: Stream has ended unexpectedly; pdfminer.six: Unexpected EOF
B860168925_determina.pdf,7,19611,pypdf,
B860168925_determina_3152_subappalto_secondo_contratto.pdf,4,10216,pypdf,
B860168925_determina_5124_primo_contratto_applicativo_B8E24C68E3.pdf,4,11048,pypdf,
B860168925_determina_5556_secondo_contratto_applicativo_B91E10AB89.pdf,5,12955,pypdf,
CIG_B474D3250C.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B55BB8E397.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B5F0937C10.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B5F77EC7CD.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B5FDE25326.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B6646262E7.pdf,2,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B675CE0615.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B6A106A32A.pdf,2,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B6DD95EE23.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B74941928B.pdf,2,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B7B0353822.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B8297EE856.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B82A8FBA72.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B82CB38B8D.pdf,2,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B85DEBAAC9.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
pn vsf15-25-sua_lettera inv.-disciplinare_indifferenziata_2025-26_frascati.pdf,19,88932,pypdf,
